# x[kpc] y[kpc] z[kpc] vx[km/s] vy[km/s] vz[km/s]
5.014651880314427990e-01 2.394734860992087544e+00 1.074236110760785401e+00 -3.036438050612382256e+00 6.697737115474618363e+00 1.330804658698594878e+01
-3.056609196029351216e-01 3.603148193505675834e-02 3.784774516037132108e-01 -1.529039033644540346e+01 1.638158538303832756e+01 4.502733433304070587e+01
-6.194862502856957054e-01 -1.337231258745270705e-02 -7.713177186445063782e-01 5.154852382071206662e-02 -1.081431856547143155e+01 2.934946642958975893e+00
-3.631962897078725994e-01 -1.058580012827878974e-01 -4.550445422003787654e-01 -2.241095728627967887e+01 1.367981017696446955e+01 4.759177221245083800e+00
1.589829109268410257e+00 1.508653109805808024e+00 7.641475576841327833e-01 2.826810532319176872e+01 3.888670333174141902e+00 -3.629910624501304639e+00
6.477276756994821971e-01 1.267969152626775342e+00 7.884334093222230555e-01 6.283814122665180690e+00 1.470847177264267813e+01 6.071327082408460640e+00
2.140892612874538248e+00 3.156919980459677033e-02 2.651924445622787577e-02 3.615962162538024938e+00 1.488880448426561465e+01 6.024067754153836773e-01
4.217507300270308401e-01 1.771475130791625163e-01 3.570779590126411107e-01 1.934979830924925315e+00 -2.812625075261604479e+01 1.564498940752015521e+01
-1.439464644691763363e-02 -2.156510714128773709e-01 -1.608668090605831213e-01 2.484049299583018211e+01 1.411277157396165549e+01 -1.879674468191689485e+00
-1.252457312210718987e+00 3.415266387768750578e-02 -7.829738860224850772e-01 1.447186751741129207e+00 1.153840073776587793e+01 7.338546439306506741e+00
-2.497268670867938134e-01 2.017920384747539098e-01 8.090754048757685390e-02 8.239062332197581995e+00 -7.789695398127179260e+00 -2.632111641980319661e+01
3.874860085811119847e-01 7.114464811239095132e-01 3.989188957889319709e-01 3.523689995795424323e+01 -1.801323624558941461e+01 -5.035807911648112700e+00
8.522173036522483203e-02 -1.710040632217889323e-01 6.278766614321114325e-02 2.470913640234620701e+01 2.710954435653323102e+01 -1.193678619275362962e+01
-1.565144656934683298e-01 -9.121597474031366559e-01 8.230789967586513711e-01 1.987058021046323120e+01 -8.064843829994925883e+00 -4.054776531373025961e+00
-5.840591744970735633e-01 4.428744827010769880e-01 -2.195027409003655894e+00 -2.032807430110972291e+01 1.713417741730837562e+01 -4.892680710077902617e+00
-2.705827690012509557e+00 4.897015919248227656e-01 5.955255845277146465e-01 3.999737849946086055e+00 9.293320267689148650e+00 8.323448249306601099e+00
-7.913289507492504704e-01 2.119629863964614114e-01 7.181903981230025602e-01 3.202016034468697114e+01 -2.247163153949472658e+01 -1.113551557958960636e+01
9.521216423185610012e-01 -2.571555680341066144e-02 -5.471407660427067832e-01 1.829520181193530703e+01 -3.841576875024882298e+01 1.636819311033294255e+01
-3.293063002418730179e-01 -2.739907267798520341e-01 -5.253519658085671340e-01 2.837158326735388059e+01 -5.769472641886194353e+00 2.208298881603859343e+01
-3.226605362262457422e-01 -3.176582281779166683e-01 6.324565580352082828e-01 8.811179040638837279e+00 3.215019910677542114e+00 -2.827093366858124313e+01
