# x[kpc] y[kpc] z[kpc] vx[km/s] vy[km/s] vz[km/s]
7.576559295426155832e-03 -5.973664084871496138e-01 -5.274820805436988141e-02 -1.899066537978517388e+01 -9.239042190512721575e+00 1.114839331173215342e+01
3.113565566785523875e-01 1.021813230875285416e+00 -5.170142613613647187e-02 -9.975160880369813299e-01 -9.487471481017706765e+00 -1.325790180514989380e+01
6.881946670442397329e-02 -3.688830722890673597e-01 -1.805049360326959826e-02 -6.421540371828776905e+00 8.028700278974694626e+00 1.135267963620929699e+01
-6.173005600891168232e-01 7.369613229106341222e-03 -4.938645908035481091e-01 -8.687789192054790277e+00 7.891049578009522669e+00 3.863102797154519319e+00
2.878118513440571236e-01 -1.206447319943580343e+00 -1.156378630723398526e+00 -1.110564152881897471e+01 2.040955331603020451e+00 -1.270986626988665602e+00
-5.152334523932019517e-01 -2.373050095160741946e-02 4.667600120701671518e-01 -1.319286825246819284e+00 6.989235424943271546e+00 -2.956431499312637268e-01
3.623477838298356790e-01 3.558000820989500879e-01 1.314015417903517668e-01 7.506415111022576525e+00 2.208547394585948176e+00 7.570500507559076553e+00
5.117767609849829813e-02 -1.064209402933269155e+00 2.793893252360973189e+00 2.065543907197118667e+00 3.806850822665336587e+00 1.937425450523712911e+01
-4.406590320668831162e-01 -2.119608334378876968e+00 5.905037334220364365e-01 -7.545442845489739980e+00 8.885667696671497140e+00 -2.760783120116721001e+00
3.862617286221738944e-01 -5.968694488820812660e-01 -7.221401023969848953e-01 8.666914824380199889e+00 5.999340481934631875e+00 1.485063938142263318e+01
-5.404601623496929630e-01 7.369004615824071847e-01 -1.918826902636915632e-01 -1.051690422578189299e+01 -4.753328249780289561e+00 1.191891675340953149e+01
1.775836250949663686e+00 -6.435105737317335928e-01 -8.196188322551682948e-01 -9.428151178134807964e+00 -4.028072293544594729e+00 1.031435805613450540e+01
1.647214210894590858e+00 1.318779263153185832e-01 9.307466878808126065e-01 7.445804746492952653e+00 -7.811526002178716954e-01 2.460078452298203544e+00
-1.536701330047073988e+00 3.620825649826160952e-01 -1.100408112181470832e+00 1.796729358146681221e+00 -1.122020662014830705e+01 2.131581149373562667e+01
-2.535522621623735873e+00 -9.109847671985608075e-01 -1.702651160934093855e-01 5.994208577773918023e+00 1.536030530389640880e+00 8.501579511468392525e+00
7.197711127506555284e-01 1.262066512779118910e-01 -1.364444084705006999e+00 -2.391010732140778750e+00 -4.141786756745769793e+00 4.752527206449491892e+00
-1.103081864650840987e-01 -1.222664834824861851e-01 -2.855659258323778871e-01 -2.509518266470074366e-01 1.830984711304163781e+01 9.423972310850960099e+00
-1.134029104432837443e+00 1.152364150331318893e+00 -7.194506663613242647e-01 7.677240551984106709e+00 1.921848017459746671e+01 1.719630502228852720e-01
1.140800935950011086e+00 -9.917001178066155165e-02 -3.803539621496038747e-01 -8.041191283285204605e+00 -8.235017192979722012e+00 -1.626928618395666160e+00
-3.643051377768699028e-01 -3.769391860556027818e-01 5.520135410861130021e-01 3.795866413618038226e+00 -4.794260380863893722e+00 -5.959373527143412730e+00
-5.430879848841721369e+00 -2.703724886067234490e+00 -2.340337835476356876e+00 -4.856989045001096628e+00 -4.300672754188556546e+00 1.162703291744599099e+01
5.941391355259463269e-01 -6.400490168597393614e-01 -7.650693237703014571e-01 -7.850204264584967895e+00 9.797310625077315649e+00 1.509602276734739235e+00
9.601558688302922473e-01 7.983345635528361628e-01 1.049459829993214077e+00 1.133673835538613517e+01 -1.201748320936973968e+01 -1.548513574660647230e+01
5.865600891208849754e-01 1.888016179937087799e-02 2.763242760708301549e-01 3.735476122746898220e+00 8.906399168570308333e+00 1.419321172133651388e+01
5.050877459087378618e+00 3.950371324266785500e+00 -6.332283689937513449e-01 1.133043717567058728e+01 2.318365175018124447e-01 -1.087739684228582426e+01
-8.137796469043134806e-02 5.869954862501491899e-01 -4.005234366842897083e-03 4.411076346103764756e+00 4.766197847256544939e+00 -2.261575429682630034e+00
1.518392113183841541e-01 -5.083698856983800418e-01 -1.032319247611086510e+00 -2.594475595326033890e+00 -1.753814070193379315e+00 1.243700716562788244e+01
7.752502525193799565e-01 -2.102292198879648077e-01 1.583807159348252502e-01 1.128361437086376995e+01 -7.910241190575943548e+00 1.166562106237850038e+01
-8.786318372299455337e-01 -7.713755368567926096e-01 3.856795377563209670e-01 -3.873207220675115359e+00 -1.365195087213621861e+01 4.577048180616319684e+00
-5.245624882750677953e-01 8.820807983346686809e-01 -2.625862468183632892e-01 1.683740555612280332e+01 8.595535809846555964e+00 -6.848464825138254497e+00
9.113353250897422431e-01 2.428786706542242768e-01 3.637606071824766585e-01 -2.257107169457633233e+00 -7.283198894975813076e+00 -8.168818288077083878e+00
-1.310933649022436587e+00 6.583718955343258183e-02 8.037992236621259723e-01 -3.355084868543650067e+00 -1.161671446217863490e+01 -3.732941502352137508e+00
-6.893872538398888583e-01 -6.558519233666920689e-01 5.088864547892580498e-02 -4.630211304665867722e+00 3.322606839435651160e+00 1.691328441273687311e+00
1.970615928060870159e+00 -2.048920293420197769e+00 -2.021913411391640825e+00 -1.185843938725539637e+01 1.805252410064327506e+01 1.811576762476374114e+01
7.412336498166974819e-01 4.374976292040578807e-01 -6.639155565276453341e-01 -1.135967347553073914e+01 -5.686597656191208827e+00 1.424791218475524346e+01
-3.258769655765303419e-01 -1.507682218880534553e+00 1.255661415660281888e-01 -1.212967954418524386e+01 7.401439424409421708e-01 -6.631761805014760869e-01
-2.131160616188257639e-01 6.520284952577001802e-02 -5.381190334271357401e-01 -1.277832036759224721e+01 -1.532987705600206674e+01 1.692408381547758012e+01
-9.818288670273664365e-02 1.303890651052205474e+00 5.948231650081716726e-01 -1.036043963865042450e+01 -1.544041167117706159e+01 -7.973432071250515563e+00
-7.529544469355737846e-01 7.890263184628945603e-02 1.858526409239139865e-01 4.834706698985383966e+00 -4.023929587925812790e+00 -8.974269483475609377e+00
-2.197841537626129549e-01 1.818111028270646523e+00 2.066590646476466286e+00 6.735996446133825977e+00 -1.633457894904877250e+01 -4.267750825195815167e-01
-1.233480103497082148e+00 1.429906261663194122e+00 -3.586143366543608768e-01 -1.607821967498820115e+00 -1.064065818287532394e+01 -2.737892531652371453e+00
-1.260446225041314261e-01 1.073645378552434471e+00 1.389276389159765923e+00 6.609691803587485204e-01 6.272421291401308885e+00 -8.192384227006018094e+00
1.811608856155104141e-01 3.345203292718301052e-02 3.748366293659444737e-01 9.129525556762871474e+00 1.140249732162305563e+01 -9.888571187281719688e+00
-9.284300796631259622e-01 -2.095230543966316361e+00 -1.747641505631176428e-01 1.100836067339269064e+01 1.025906272732386171e+01 -4.615472296337211233e+00
6.733794460410658100e-01 1.918343647577757383e-01 -1.850557790233663846e+00 4.481784045410080353e+00 4.063662489513272469e+00 6.637559938979291640e-01
