# x[kpc] y[kpc] z[kpc] vx[km/s] vy[km/s] vz[km/s]
-6.388835522637136000e-02 -2.442798866996759855e-01 5.798960801152640461e-03 -8.974951469069869958e+00 -2.362526709389267054e+01 -2.867279508253667952e+00
-2.266196958737944356e-01 -2.135008445660290466e+00 1.016706332764642617e+00 8.011761795263721453e+00 6.597819978090763371e+00 -1.251723678267660844e+01
-1.143048252508898743e+00 1.414092705184497811e+00 -5.725575628181560628e-01 1.165560986066143379e+01 -1.365691375407004138e+01 -6.787179105694399084e+00
7.660199027346187295e-01 6.347992264692279285e-01 -5.576691034929205648e-02 -5.555521515910458064e+00 -1.454369546784595002e+01 -9.484498227899578637e+00
-1.477029636473448759e+00 -3.519838895096490117e-02 -6.763960294144083507e-01 3.453118709877853743e+00 2.714650454260474799e+00 -1.396734931126466961e+01
-8.509339002967410970e-01 1.576206023390221533e+00 9.886747817010144157e-01 7.459979145284400204e+00 8.604765824386984008e-02 -2.976754068121022723e+00
2.601164664270632532e+00 1.382648510426462973e+00 3.231051993184367088e+00 -1.573361133570082337e+01 -1.764722002821695312e+01 -1.567984954833983124e+01
5.761444585001873619e-01 -3.612104254080572563e-01 5.761636467662301087e-01 -7.341416307761290838e+00 -9.835666210359148565e-01 4.893214104529673314e+00
-1.467310907529752462e-01 -7.814060967369267363e-01 -3.557516879140525945e-01 -3.206884356057772223e+00 -8.584049000800693108e+00 5.510433729752892695e+00
1.252043308224850771e+00 -1.159499772423921105e+00 -7.762105378763880514e-01 1.364722287136351797e+00 6.314286704784727311e-01 1.449841146144159598e+00
-9.466989627882340663e-01 1.425927029175527716e-01 -3.838146896280435483e-01 -7.463216411367481484e-01 -1.974891566160533518e+00 -9.617788288297601795e+00
-8.974923275734339456e-02 -4.320686909577391432e-01 1.077668255457223667e+00 7.073434396990453621e+00 -9.950109783897387317e+00 -1.468274446435274783e+01
-6.506585178813862891e-01 -1.777385591647997254e+00 3.149951231001295038e-01 -5.833079642213735205e+00 1.288248757989740589e+00 8.542348199035791012e+00
2.641731585624932863e-02 1.334581885103030441e+00 -8.870011819644673112e-01 1.011311969718408399e+01 -7.356926097272746823e+00 1.051208682757485846e+01
1.092869441901187511e+00 1.229741779663600376e-01 -1.513393029658046673e+00 -1.062105266157356454e+01 -8.315838734557015499e+00 1.094194095599751471e+01
-8.581831702658142547e-01 1.758395297578488448e+00 -6.546689554111214879e-03 5.254398560111012806e+00 -5.764568242289538347e-01 8.026761671082034866e+00
-5.027800480728389365e-02 1.113245142972478230e-01 -6.499246526529184331e-01 -1.846047240458662309e+00 1.140244211201193636e+01 1.217460615621169850e+01
1.814429929906646866e-01 5.612408572084521818e-01 -1.302173035381651578e-01 -8.414499274495499392e+00 7.433187749640780551e-01 -9.699943250785068471e+00
-1.748700802512214159e+00 -7.992379648776837264e+00 -1.778661951695960308e+00 -9.532837130903720535e+00 -1.284673984894334264e+00 -6.382523537693908899e+00
1.219151681479062610e+00 -6.345477309860633186e-01 -2.255779150364417007e-01 1.462143611953705680e+01 -4.319172995257220649e+00 3.339811880468565253e+00
-8.726184336516342732e-01 7.779380655457721616e-01 -6.421451072030808227e-01 -1.172279600597953575e+01 -5.953017767391413528e+00 -7.531415489404050589e+00
3.317576629741503802e-01 1.280710778245913062e+00 7.040835993814605898e-01 2.345401465539068653e+01 -8.647426051606231567e+00 -6.889796051827792311e+00
-1.138412000354512531e-02 4.607628796975755670e-01 2.755296674854956773e-01 -1.141395550040468621e+01 -8.939646206899467984e+00 1.238596459704786135e+01
5.782252816218095282e-01 3.887475767469256716e-01 2.870670565780621408e-01 1.103330027218771114e+01 -3.047818021663176502e+00 -2.915942112910515860e+00
-1.536677439862822458e+00 6.998036657442993080e-01 -2.167854885605291770e-01 -1.516793767329332576e+00 2.298848720313353411e+00 -2.098302273684128139e+00
-5.300938888088615325e-02 -2.306444683176298582e-01 4.073446985724021308e-01 2.091432368419012811e+00 -2.100456223912079423e-01 -1.029135578865557221e+01
1.582976512831211768e-01 -7.463883148704808512e-02 2.049700755543812092e-01 6.931496852615139925e-01 -7.241625211660108974e+00 2.091555788488489220e+00
9.660452499322897957e-01 -3.781873306377028787e-02 -3.462533776910455829e-01 -6.078679205464339041e+00 -1.671419901636781802e+01 9.552444584408946726e-01
4.959623706718267466e-01 -3.728304086765651393e-01 -3.684162309144380365e-01 -1.560923667795954195e+01 4.159189511575378972e+00 -5.718318727495204534e+00
-1.365947162845054130e+00 3.312652258376047598e+00 9.449938489882186987e-01 7.274365710270608076e+00 7.361098686450795903e+00 7.034685588393948530e-01
6.356283135663124417e-01 -1.762940384445337294e+00 -1.106065550200584224e-01 1.325871836056456754e+00 -8.515027735570670941e+00 1.344993783391674746e+01
5.465511082203196036e-01 1.220383098825018539e-02 3.530366908952950467e-01 -1.520980672183881310e+01 1.215625537836559467e+01 -1.830035991370134241e+01
-2.266359835736031503e+00 1.083773955473997241e-01 6.001315160356079925e-01 2.032741338488532890e+00 -1.078913716753979912e+01 -6.075928979888942649e+00
-1.000488286044324493e+00 -2.217815515314367769e-01 -4.837620808798188954e-02 9.463523441338967501e+00 -1.167590262797948597e+01 1.519418486066436991e+01
9.242380066477782208e-01 1.476922686991390954e+00 -3.394875668828462589e-01 -5.023483129934673386e+00 1.800547813795387952e+01 -7.790711917777313644e+00
-8.102584228144095180e-01 -7.334933834894097338e-01 8.409690033054129793e-03 -8.425966873904600085e-01 -2.292992835914032135e+00 5.085274523914897316e+00
9.531668842171761025e-01 2.063100833240170573e+00 1.846131599029672832e-01 1.999494717378903630e+01 9.310987478959404484e+00 2.052225068064863223e+01
6.588845181576041821e-01 -8.783864739355359275e-01 -2.484008827801789943e-01 -4.544043006919607386e+00 4.613263997282656348e+00 -1.234820264211444529e+00
6.463469319762874532e-01 -5.343152978357909255e+00 -6.264897824286601136e+00 1.245361672319244128e+01 -8.550822616546049915e+00 3.996408096812189559e+00
2.155458908612783719e-01 -6.890702780282381701e-02 -5.967318445520316539e-01 1.149784887893641194e+00 -7.925988326491904878e+00 -6.592931120396447575e+00
-5.586666898124580394e-01 -2.898545049964706966e-01 -1.262518113477468507e-01 -1.154195396483057934e+01 1.111879969517745437e+01 -6.786069600854243156e+00
-1.276833167698346427e+00 -2.609710621796508812e-01 -1.034554698681751539e+00 -1.323623730354718653e+01 -1.331954119324862162e+01 8.365576450882027615e+00
1.174641729954728347e-01 -4.284899132821683443e-01 4.145198499058806441e-01 -1.471073007613172834e+01 -9.961364135322650526e+00 1.535203480595680237e+00
1.257148837918166673e-01 -1.529341776906498473e-01 5.349217002340016930e-02 7.728954704497374983e+00 -1.513235266148181069e+01 -5.855056403519256492e+00
-1.983025387882003943e-01 1.085382845841196681e-01 -5.871195666655840695e-01 1.947488767172701074e+01 -4.628419655961117485e+00 -1.189724255158959565e+01
-6.102486924049014272e-01 -7.501673058131134164e-01 -8.204202204170546464e-02 7.823417619809930557e+00 -2.441964182562217900e+01 1.264753421434683389e+01
-5.716546168689595753e-01 -2.760482265719206296e+00 1.168821398208398810e+00 5.279976370091361559e+00 -1.426771436184855624e+01 -4.851337617673747715e-01
-6.592168498681647559e-01 -3.939135795540742890e+00 -1.620256960573022909e+01 5.051769587805106099e-01 1.639187454664771337e+01 1.103909031000199015e+01
4.865679577311358694e-01 -3.855775100496833807e-01 -6.440448914946501624e-01 1.030205215088649950e+01 -4.127693963743279681e+00 -7.309208277072243298e+00
-2.177902920345650695e-01 1.549403265540298148e-02 -9.815400619526325476e-01 -3.947004013422598767e+00 1.145488162539216148e+01 5.874111303664146355e+00
-5.117303336502743161e-01 -4.475182730133917541e-01 1.178501246651318723e+00 3.211153369880817010e+00 1.006836011889966187e+01 2.809742423273246636e+00
1.232036690870641354e-01 -1.081516698464618953e+00 -4.237329398168713235e-01 -3.052699874724854823e+00 -1.176192923228672527e+01 3.486300686053627640e+00
1.145948007604238983e+00 -5.590532574345586925e-01 -2.441080494735133888e-01 -2.264924778630637903e+01 -1.106203258712094240e+00 5.051563791912152546e-01
-1.443456619585795353e-01 1.231468440608360082e-01 8.525056296011741530e-01 -1.706977869342075849e+01 -1.508367184523652327e+01 -5.252395004160535841e+00
-9.557130210605511156e-01 -1.571608853231096115e+00 5.466027787890662681e-01 2.266518294324695315e+00 -2.621604230139643832e+00 -4.006506363841797480e+00
-9.366266976010844125e-01 -1.047091933275529074e-02 -3.145569290520453976e+00 8.478308241044853588e+00 -4.090247944737127384e+00 2.233476324089425535e+00
9.349872572079835908e-01 1.512268633458493605e+00 9.141510727705897121e-01 -1.825561406337838477e+01 -2.379429108941470083e+00 4.145516080023400107e+00
6.379154921139970624e-02 -9.406204286311415919e-01 6.873394890325941198e-01 -8.481320013152545911e+00 -1.156836951065255903e+01 -1.151294842198210766e+00
1.052635402049205832e-01 1.060341142257097413e+00 -3.916657730526749148e-01 -8.060667896064983573e-01 1.964260168560062247e+00 -1.287273155127913782e+01
-2.201156383938387973e-01 -1.336611269609868202e+00 -4.167779468415153676e-01 1.128710345877220078e+01 1.184314085757184820e+01 -6.924472136718232917e+00
-1.541728789240425224e-01 -6.159418888119918556e-01 3.547713783505821450e-01 3.364290459327677230e+00 -6.743247007153710726e+00 1.163173899293573221e+01
-3.451047516461001607e-01 1.498691106220806368e-01 -1.125063018012262966e-01 9.957424492399173488e+00 -1.315771649479991590e+00 -1.345062332464716448e+01
-6.663360684800128109e-01 6.419821526227956765e-01 1.490524562755701776e-01 -5.950062482755242854e-01 -1.234743799051632251e+01 -7.692064794635841807e+00
-1.188796405491660879e+00 -2.226733548631645576e-01 1.268221295071960908e+00 -5.835900803285356542e-01 3.838804310391509045e+00 1.472931808367067053e+00
-1.077765877934602878e+00 -4.143359484351735178e-01 -1.709978720419935483e+00 -1.342442900406979156e+01 6.797704649351284933e-01 8.767341032532309342e+00
7.570730869402783059e-01 8.201361469847473495e-01 -5.135123070159614000e-01 -1.569781408527704158e+01 -7.226710995263491810e+00 -9.879558961927225269e+00
1.172289460031271935e-01 3.591705514997431958e-01 3.773195630574984749e-01 -1.034299376325342834e+01 7.813984756279099386e+00 -1.437913652395987230e+00
7.073089141679316239e-01 5.634776461352867249e-01 -4.981781153489679703e-02 1.220506542950512952e+01 -4.665507064235551837e+00 -9.733253412048304298e+00
-4.336455345303362185e-01 -7.615438625304967075e-03 -5.956239031633975972e-02 -6.748226184821652041e+00 2.203497898759572493e+01 5.518801626472265021e+00
-1.676277909659700027e+00 -1.273220096542053703e+00 -7.539721471165293509e-02 -8.700047013570436860e+00 3.712512792622920443e+00 2.160350012468292036e+01
-1.127908384658988031e-02 1.636491425995740268e-01 -5.114837473357642939e-01 2.067202793216683077e+01 -1.476861150736507966e+01 2.075342955756245900e+01
1.917737696900932542e+00 5.050658723481206147e-01 6.219953769217912987e-01 -1.070547574605547503e+01 -4.318858105921822954e+00 1.461542346360690203e+01
-1.203750084954942290e+00 1.246194176007229482e+00 -4.459215798962203881e-01 -1.846870293020524301e+00 1.174741266184533117e+00 7.925298731742893565e+00
-6.793332916976307700e+00 5.803351908002350790e+00 -1.847647377484204823e+00 2.167597868798408989e+00 -6.160660133776580949e-01 1.354646865783491272e+01
5.447941449269229075e-01 1.678392686033025605e-01 5.099247106343264280e-01 2.727162690438892589e+00 1.794285420988763491e+01 1.055684400197282180e+01
1.262029372065359034e+00 2.054223705645377596e+00 6.872234656078707316e-01 1.205193433957698845e+00 -5.922936275420701335e+00 2.230436726592067131e+01
-2.258297443951338135e-01 1.038884571938642587e+00 4.230986348113848217e-01 -3.509994408069741834e+00 7.455305333064705664e-01 5.763650956035055728e+00
-8.860704872656046671e-01 4.712250073396974770e+00 8.282629952847475607e+00 -4.130843191647691093e+00 -1.882494147140313823e+00 4.130091450920851059e+00
-2.247692247402151289e-02 1.337307036593298193e+00 -1.939826813138348705e+00 1.712536349748276976e+01 -1.347533350214841974e+01 4.558773765762175856e+00
5.960466571991730467e-01 6.150161125322705091e-01 8.604449457102666399e-01 3.162400128763926510e+00 1.083824947693655005e+01 -7.066355813549657583e+00
-1.074668462644999156e+00 1.439059723206061570e+00 -1.206105358435793029e+00 -2.015505123205334481e+00 -8.738786108980631795e+00 -1.231881321675921903e+01
9.096016370139761165e-01 6.980552375974244383e-02 6.245829994293354837e-01 -9.794677681068282737e+00 9.274592104107993507e+00 1.308650816263698857e+01
1.106090513841506917e+00 1.709000181807641960e-01 -4.735929460237523481e-01 -1.505555137642297581e+01 -4.773084355530285094e+00 -1.385456600121493587e+01
2.502292994237242940e-01 -2.535066143314309572e-01 -6.480635459492432859e-02 -1.664199668344014338e+00 -3.762615276564035494e+00 3.923526010838586764e+00
-4.899691843370530819e-02 3.586367264590614168e-01 4.538410287185757896e-01 5.525658702849971071e+00 9.818293405536230978e+00 -1.095777845535127071e+01
-7.900272347882318913e-01 3.212213684612168496e+00 1.537015663294085455e+00 -1.739897764098430599e+01 1.303451927134983634e+01 3.642178223232026113e+00
-1.963212361833017061e+00 -9.948319065549143803e-01 -2.170466730365173680e-01 9.835775776775600221e+00 1.891709770926377487e+00 5.194916796367488043e-02
