# x[kpc] y[kpc] z[kpc] vx[km/s] vy[km/s] vz[km/s]
1.261573324899615711e+00 -2.517325236764520469e-01 6.060483634691899990e-01 1.112570110846123583e+01 -1.622411150648719769e+01 -1.204296572134183840e+00
-8.733272779767026206e-01 3.689246140338767743e-01 -6.152570888128374715e-01 -1.829286530169228264e+00 -2.198769112199359554e+00 1.448286759598488871e+01
7.056834494499204524e-01 1.701259800812335854e-01 -2.400262810648855216e-01 2.474969027358616813e+01 1.824570266846100353e+01 2.676664089503720589e+00
5.289255122978288037e-01 7.817067584439642280e-02 -5.458449756739253145e-01 -1.673164141407709415e+00 1.898654697523572210e+01 5.753701594648108042e+00
-2.886749581717333868e-01 3.518552860122329262e-01 -5.050697789079164890e-01 2.880395656997878362e+00 2.490188237198527332e+01 1.381999658478772375e+01
-3.108375424952527707e-02 6.433936319369593093e-01 -1.208886076821831940e-01 -1.281588919783114022e+01 -2.491099461174925089e+00 -7.256382341228405863e+00
2.870953516025430918e+00 -3.950771850337388535e+00 -2.699367944690436172e+00 -2.200886218606637357e+01 2.043953616191505063e+01 1.216630000964881120e+01
4.216518914267646800e-01 -2.395128489353927359e-01 -2.658990013410605369e-01 4.960644120550128378e-01 -4.019317262017137793e+00 -2.142106873835939496e+01
2.793890107675945159e-02 8.194564745913732740e-01 2.081440131640216240e+00 -2.039072531331160221e+01 -2.591135029433754511e+00 1.365915445946061269e+01
-1.616414384509096580e+00 -2.020892821023725638e-01 1.037333249014523284e+00 -1.583346977067576056e+01 1.216766033672888092e+01 1.070096445291039089e+01
2.490699688934244760e-01 -1.189054492194063228e-01 -3.553907951144814892e-02 -4.030070244503127697e+01 1.113588650041198846e+01 1.291407634929424120e+01
-1.104310273283773514e+00 5.993411515308373350e-01 -7.134415086850790511e-01 2.468116587065106060e+01 3.387652397045242125e+00 -1.501397559305079987e+01
-2.281068579420797438e-02 -1.953448476361271113e-01 -4.529945754409472336e-01 2.840865146064160296e+00 -1.298206044589046293e+01 -2.430573058631559924e+00
-1.684363468868695923e+00 1.815853348834351122e+00 9.182643769466928424e-03 -5.220102234487480786e+00 2.340655202568473214e+01 2.066708653085687075e+01
6.115279037052779448e-02 -3.456681185956038682e-01 1.726951382928404000e+00 1.728054137716565108e+01 -2.160535442473559087e+01 -2.626921443115149746e+00
5.311062895188529698e-01 2.517923835078390571e+00 1.052317411996959717e-01 -1.214409254317169173e-01 3.382947124484121826e+00 -1.206495193534858013e+00
1.962269208180117852e+00 -1.468926835174036105e+00 2.725146939783854028e-01 -7.537505328251008052e+00 1.651543623939886629e+01 -1.764485431118777825e+01
-1.104426052225272598e-01 4.975317906883403030e-01 -6.318860342794446749e-02 4.981824601859097257e-01 -2.409050815521082356e+01 1.675836560171875433e+01
-2.290773284519556641e-01 -2.151530950914742668e+00 -2.166458100923547292e-01 2.132513404643291821e+01 1.963872449667837472e+01 -2.320794896173645228e+01
1.023733129784042184e+00 -2.465514651213734088e-01 -8.067088763939622709e-02 -8.174200129149186367e+00 -7.040432261224732535e+00 1.332543763106685208e+00
2.246061551630456343e-01 1.116918783545196803e+00 -1.965954904131178224e-02 -1.281489214975700186e+01 -9.611640147359004516e+00 -1.378850679719814210e+01
-4.575198804593307855e-01 3.061578410901856229e-01 -9.204385714594880141e-02 -2.451139933132041904e+01 -2.768294421697492425e+01 6.081751862356954419e+00
-3.310742836739763439e-01 1.398831127794748275e+00 -2.137751217856938835e-01 3.782458204387327605e+00 -2.105798584189191658e+01 1.126681285739003258e+01
-1.160094741915195016e+00 1.058690917393492192e+00 1.928288731020401658e-01 7.520562746796434439e+00 3.721489339789016526e+00 9.521793736676047004e+00
-2.054820987802364218e+00 -3.553625938697266839e+00 7.838867774041802239e-01 -1.027664806441344325e+01 -3.240654778854542339e+00 -1.311393150002800567e+01
9.740408886068364913e-02 -5.241869607091698136e-01 4.339404206319594781e-01 3.617571987272994249e+01 1.315580071586311384e+01 1.469870879753747239e+01
3.921871874895687116e-01 -2.265973125195972215e-01 -2.096376218436999950e-01 1.237131920744830182e+01 -5.415253217209596848e+00 -1.980723811836194503e+00
1.197208431286315156e-01 2.046065653377035221e-01 -2.303236102493537718e-01 4.407780208452359183e+00 -7.944564473330233412e+00 -2.381077691485302950e+01
-4.126624815768015209e-01 6.012431300790247457e-01 3.255999614663613456e-02 -1.260102683961387449e+01 -2.294592009961493417e+01 -1.173137022514928951e+01
1.985429708291122919e-01 3.035471691726189247e-01 -1.092884258675923537e+00 8.761802712461902232e+00 3.187992884099154267e+01 2.276368582420275999e+01
-2.597542130906914035e-02 1.830985919483345992e+00 4.287244398332439310e-01 -3.320562078611343448e+00 1.248039273605060195e+01 4.467484917908871367e+00
-1.775111893889447678e+00 8.178340319764682009e-01 -3.051561768118009610e+00 1.234042996601885100e+01 -2.240462811781461028e+01 2.502688798575068319e+00
-5.076983083085380599e+00 -3.495529243218872817e-01 2.104687659495489971e+00 8.872867765816899066e+00 1.034652206673594499e+01 1.154457857701524759e+01
4.966349954830861613e+00 -5.280553249978848562e+00 -4.544434233868454243e+00 -9.562084054488188656e+00 -1.196836114603141077e+01 -1.222074047261369145e+01
9.107253296779459495e-01 -1.551124131898097502e+00 3.776964098666875991e+00 -7.747618511374406935e+00 1.004879724352445791e+01 1.721276714046346967e-01
1.478990632095686930e+00 1.359612158529893255e+00 8.222644558528090508e-01 -3.011980354134088600e+00 2.844140006304928292e+01 -3.399872395228196176e+00
-6.615570550595344379e-01 -2.805972153162331062e-01 5.532772899669180511e-02 -1.388105557553603298e+01 -2.667479913325537311e+01 1.953091628961825421e+01
-2.447379490984174510e-01 2.166001244682440319e-02 -1.454322034419904375e+00 1.543610817614985997e+01 -7.405886735271129950e+00 -1.217914387083748018e+01
8.936429766177365064e-01 1.855904370880611998e+00 -6.528282110307629393e-01 -1.782876126286880947e+01 4.043284081349787229e-01 -2.814109091999657863e+01
-1.104373107892973938e+00 -2.035822520496536558e+00 5.591836766633242473e-01 1.403429393176816475e+01 1.058222860947458344e+01 -8.975500335940171936e-01
8.800587184852324274e-01 3.485364031448185518e+00 1.390556653088073968e+00 4.705273761897134754e+00 -1.329799019131580984e+01 -1.101549579807210044e+01
-1.536609994764865095e-01 -1.706784962398631006e-02 3.969852404151169578e-01 -2.020043517035055913e+00 -1.551480743979718468e+01 2.492948124746645178e+01
2.007494635538587868e+00 -1.415820491559812710e+00 -7.395396061387651265e-01 1.040071637818464545e+01 -1.344442374493115722e+01 2.246745581197341579e+01
-1.328988181188586470e-01 1.098522346030638808e+00 9.405341510140752259e-02 -3.432735251403812526e+01 1.224943825034333145e+01 -5.964990206785926397e+00
-1.314149551756275791e+00 1.862678773797314280e+00 -1.009993219033290535e+00 1.066577944789706223e+01 -2.187335422764927095e+00 -5.747669841777542032e+00
-5.891048040027961896e-01 1.333704661745188091e-01 -5.448776552035514698e-01 -8.829884805554662819e+00 1.023624269984168222e+01 1.695733319205340983e+00
-1.001997042282947170e+00 3.320199791634722009e-01 -7.918324830087208888e-01 -2.625072107813772249e+01 9.663806683866766889e+00 3.933735770619950500e-01
2.493172703465804940e-01 1.224488028055847000e+00 -4.295663852064882104e-01 1.837117988990278761e+01 -1.879157650062082396e+01 7.552728727628350569e+00
2.925482324044746951e-01 -1.477382797864481345e+00 2.589158471546998408e-01 -9.523908962597834815e+00 9.496309286080258261e+00 -2.035238036601625211e+01
3.886902468702962965e-01 3.849685146680100534e+00 -1.128950205244141580e+00 -4.981678467008368472e+00 -2.250916204495981621e+00 -7.076726353021727256e+00
-9.019210114241551710e-03 2.821180323610380514e-01 2.015409943286372019e-01 -7.807185815890569813e+00 1.291720269397530352e+01 1.416696081385277495e+01
-2.503625470013900234e+00 -1.641825646691796869e+00 -2.732967479050148807e+00 -2.538693958754146607e+01 5.669862262869149738e-01 9.320632517519907623e+00
4.950192954130315792e-01 4.359030457922447033e-01 -3.715218589085241829e-01 2.783037909593064541e+01 9.002346418107890713e+00 -2.132938483747130576e+00
-6.390252695498560565e-01 -2.456148523675437456e+00 -6.465182208565122268e-01 -1.920949858494555329e+01 6.390168251771943808e-01 -3.189489283302209266e-01
-3.453443777261500647e-01 -1.010793532239997683e+00 4.368971427490634524e-02 1.353188049350221434e+01 1.208939194470912071e+01 -1.542574105432967002e+01
8.203699378160947964e-01 2.073283254913812490e-01 -4.406315328679419885e-01 -1.066357408176699195e+01 1.466053952442245567e+00 6.511213799473171804e+00
-2.028657468477460257e-01 -1.367108295471400892e-01 1.595251432352805532e-01 -1.018337872113763609e+01 1.919508783797160234e+01 -5.938849948719615135e+00
-3.852129715244856922e-01 -5.949908043261451507e-01 -3.578634024973263439e-01 9.364221591198072403e+00 3.779817744957228332e+00 1.737189704424045855e+00
4.971829897684921784e-01 -1.762524159958816616e+00 -6.128492955753046534e-01 1.128438151420084523e+01 -2.387914134223916207e+01 2.219775249087698299e+00
1.031544929158140639e-01 9.231824130239102422e-01 8.418436035684414565e-01 1.381710816239476003e+01 4.368720201456390839e+00 7.584615876706571669e+00
5.507499129574217056e-01 6.415369554852489165e-01 1.497667272139788577e-02 7.130520391078484010e+00 2.751129995968178577e+01 1.276194092954400183e+01
-1.457009413254840846e-01 -1.338079989285433924e-01 2.540497588860669564e-01 -1.659169302202198537e+01 -2.421631509976107566e+01 1.730280910228047730e+01
-5.059669775832785765e-01 3.780647179962532967e-01 -8.113461219453324547e-02 1.482635415792330846e+01 -2.844796448821484347e+01 6.408593532143029847e+00
2.384363699378716783e-01 -5.544988425978982782e-01 3.273578216334862567e+00 -7.114867237596147476e+00 -2.590816352988574600e+00 5.671542074893316965e+00
