# x[kpc] y[kpc] z[kpc] vx[km/s] vy[km/s] vz[km/s]
1.091910604403751317e-01 -2.509607329897522998e-01 7.828482663879982040e-02 -1.909572121853338444e+01 -7.684807687797396980e+00 -6.337633006090323207e+00
1.223713192621897816e+00 -1.314750740917885130e+00 -1.240225228093069648e-01 4.457010733346395526e+00 -4.503299756966433698e+00 1.547898553214152173e+01
5.989856348132174269e-01 1.441047513105278455e+00 -2.232155240656640505e+00 1.052129257119508310e+01 1.597903225122851367e+01 2.937150393621721811e+00
-1.096881413501580971e+00 4.901325869449427719e-01 -2.475552419367814394e-01 5.099272769038891262e+00 -3.278749806609625672e+00 2.299489348838901215e+00
-2.779270498725309180e-01 1.769066750954366718e-01 -8.417449668152572617e-02 2.877574100786388200e+00 -7.981294723352995168e-01 -1.754707079978413375e+01
2.197920566626250682e+00 -4.062644648572769079e-02 1.703757346638178571e+00 -9.873268591806173333e+00 -9.094504646914900903e+00 -9.396896804189280417e+00
5.391794889887874254e-01 -1.035673464045477443e+00 -6.663955288243922359e-01 1.099160367028556706e+01 -1.145906511921088011e+01 9.412036783992459021e-01
-1.368650301935986358e-01 1.993050691975515765e+00 -1.845914334657757117e+00 1.425473602682110297e+01 6.451966646120568250e+00 -6.529668440817216535e+00
1.023924104909826049e-01 1.670924538709158969e-01 6.325833009585487554e-01 -1.821662000233317613e+01 -5.247750884152903694e+00 3.628328509108931232e+00
-5.949508587249637825e-01 -3.329280892604450370e-01 -4.584432377116414714e-01 3.846698913796122277e+00 -2.228537624838519360e+00 -4.996270051202167828e+00
5.371537869122671172e-01 1.904603994293507518e-01 -9.707088371328593812e-01 -9.689473164570681973e+00 9.756425903619872386e+00 -3.688564099824381159e+00
6.459025030477504314e-01 -2.898584152436091688e-01 -5.857659458699708832e-01 -6.544145836942043104e+00 1.264953440696484321e+01 1.029761815349070631e+01
2.756746731693124342e-01 3.236530013445344106e-02 -1.189553493036150877e+00 -9.571674834669886778e+00 -1.377499902390125364e+01 3.452334545758820816e+00
-1.697544054984259976e+00 -8.932501118433431309e-01 -2.377207966806182959e-01 -1.036894851493560310e+00 1.238687011852651843e+01 2.430950726347226087e+00
-2.307048386816319852e+00 2.573519206295721506e+00 1.018068877600767363e-01 -2.351053460469861278e+01 3.254103075395873290e+00 1.074289486492345169e+01
9.657679870308562287e-02 1.763841217435690722e-01 1.417918853143251612e+00 -4.069977895778844612e+00 9.339989680055920118e+00 8.225970813332855736e-01
-4.597491962566669366e-01 -1.463489504611156788e-01 -3.206085303371174200e-02 -4.680296596048294511e+00 -1.112849617073526254e+01 -1.753734341264475916e+00
-2.063438702032932781e+00 -1.276863056015194342e+00 8.326554085414479278e-01 -1.099484160831273627e+01 -5.721794858390882865e+00 8.821213802629662482e+00
2.387978478101967228e-01 -1.053503988677932490e+00 1.009883809827505807e+00 -1.458695096048813689e+01 -1.272151673160787411e+01 -1.585799380503353007e+00
4.070920809592079692e+00 2.947735967944170810e+00 -2.006602568882042803e+00 -6.250158134464367521e-02 9.366092140610238204e-02 2.410145766840321890e+00
8.579515442103500256e-01 -2.815578739907444450e-01 5.026240161453930932e-01 1.459203887771828967e+00 -9.200052107551819347e+00 2.537612423059346423e+00
7.522449986408353828e-01 -3.325645907703074777e-01 8.083368347038040191e-01 -2.123617645451447711e+00 -4.701161268453331488e+00 -9.413459211881811228e+00
-1.695754072500089138e-01 -6.402165060868776347e-01 1.169306815364105745e+00 -2.484831533868304465e+00 5.809335595102760763e+00 -1.873385771000670630e+01
-4.000140444856576383e-01 -3.379867162111503953e-01 -9.444993042592358945e-01 -1.115026296856251697e+01 -1.985371849448145820e+00 -4.092997171121082189e-01
7.754862854135922134e-01 1.311723347655769478e+00 8.512393947742554756e-01 1.268158046504538206e+01 1.210100573654333544e+00 7.501549100190882946e+00
1.422750701728938971e-01 -4.669142814756200299e-01 1.488094281128516105e-01 -2.753429720584976703e+00 -4.536770900729447664e-01 -7.767238897409897147e-01
8.189109056729343417e-02 4.960360803563595433e-01 5.823895181046324643e-01 1.866372972767192806e+01 -5.662535943215907253e+00 -1.438450984543302091e+01
1.714556777345091598e+00 -1.285526905704666101e+00 -2.429173892972578686e-01 -3.085186968935072471e+01 2.078978163214643970e+01 -1.738889267641933145e+01
-5.466140455700368994e-01 -2.295863046406055596e-01 -2.597493425581478554e-01 -2.279683151841483379e+01 5.878144083931007735e+00 -2.659682528746337482e+00
-1.219200429087207160e+00 1.253622203623473652e+00 1.436587102677720162e+00 8.427775236773348055e+00 6.772006447648702299e+00 -1.582342695137318511e+00
2.101060494499488174e-01 -1.243847295160187549e-01 7.682071257041072077e-01 2.786451347910672283e-01 9.881084690686659400e+00 -1.130023009589041294e+01
-9.875865261609505508e-01 2.916234947413329573e-02 -8.314932574305912150e-01 -7.759532237817561295e-01 2.033917029673522892e-01 -2.000169119915625182e-01
-1.222703067840703151e+00 -1.311656162670705450e-01 1.008878854410585196e-01 -9.730421587037154652e+00 1.140337067839562568e+00 5.118101704606842439e+00
